23-32534-345,Reyes,Maria
18-76421-908,Santos,Jose
31-48295-167,Cruz,Angela
27-61943-520,Garcia,Luis
14-85327-641,Flores,Elena
36-29418-735,Mendoza,Paolo
22-57196-483,Navarro,Camille
29-43812-956,Aquino,Daniel
40-10000-100,Velasco,Alyssa
41-10173-107,Domingo,Ramon
42-10346-114,Mercado,Beatriz
43-10519-121,Padilla,Carlo
44-10692-128,Salazar,Diana
45-10865-135,Valdez,Enrique
46-11038-142,Soriano,Faith
47-11211-149,Pascual,Gabriel
48-11384-156,Aguilar,Hazel
49-11557-163,Cabrera,Ivan
50-11730-170,Rosales,Joanna
51-11903-177,Manalo,Kevin
52-12076-184,Pineda,Lara
53-12249-191,Marquez,Martin
54-12422-198,De Leon,Nina
55-12595-205,Evangelista,Oscar
56-12768-212,Estrada,Patricia
57-12941-219,Ferrer,Rafael
58-13114-226,Ocampo,Teresa
59-13287-233,Bernardo,Victor
